[19:11:20] second args = Namespace(datapath='/devdata/hsh/datasets/seg_dataset/BraTS2018_remove0_normalize_nii_resize128/MICCAI_BraTS_2018_Data_Training', train_list='datalist/BraTS18/BraTS18_train.txt', val_list='datalist/BraTS18/BraTS18_val.txt', snapshot_dir='/devdata2/hsh/program/python/methods/CRLS-series/contrast-CLRS-release/results/BraTS2018_resize128/CLRSNet/20251004-191120__run_times1_alpha0.1_beta1.0__BraTS2018_resize128_CLRSNet', method_name='CLRSNet', dataname='BRATS2018', input_size=[128, 128, 128], num_gpus='1', local_rank=0, print_rank=0, batch_size=1, batch_size_val=1, num_workers=4, num_cls=3, num_modality=4, normalization='batchnorm', spec_normalization='batchnorm', coe_specloss=0.1, coe_consist=1.0, optim='sgd', lr_scheduler='PolyLR', learning_rate_fate=0.01, lr=0.0002, weight_decay=0.0001, num_epochs=200, iter_per_epoch=None, aux=Namespace(optim='adam', lr_scheduler='PolyLR', learning_rate_fate=0.01, lr=0.0001, weight_decay=0.0001, num_epochs=200, iter_per_epoch=None, normalization='IN'), region_fusion_start_epoch=0, resume=None, pretrain=None, seed=1024, ignore_label=255, is_training=True, random_mirror=True, random_scale=True, norm_cfg='BN', activation_cfg='LeakyReLU', train_only=False, mode='random')
[19:11:20] second cfg = {'datapath': '/devdata/hsh/datasets/seg_dataset/BraTS2018_remove0_normalize_nii_resize128/MICCAI_BraTS_2018_Data_Training', 'train_list': 'datalist/BraTS18/BraTS18_train.txt', 'val_list': 'datalist/BraTS18/BraTS18_val.txt', 'snapshot_dir': '/devdata2/hsh/program/python/methods/CRLS-series/contrast-CLRS-release/results/BraTS2018_resize128/CLRSNet/20251004-191120__run_times1_alpha0.1_beta1.0__BraTS2018_resize128_CLRSNet', 'method_name': 'CLRSNet', 'dataname': 'BRATS2018', 'input_size': [128, 128, 128], 'num_gpus': None, 'local_rank': 0, 'print_rank': 0, 'batch_size': 1, 'batch_size_val': 1, 'num_workers': 0, 'num_cls': 3, 'num_modality': 4, 'normalization': 'batchnorm', 'spec_normalization': 'batchnorm', 'coe_specloss': 0.1, 'coe_consist': 0.1, 'optim': 'sgd', 'lr_scheduler': 'PolyLR', 'learning_rate_fate': 0.01, 'lr': 0.0002, 'weight_decay': 0.0001, 'num_epochs': 200, 'iter_per_epoch': None, 'aux': {'optim': 'adam', 'lr_scheduler': 'PolyLR', 'learning_rate_fate': 0.01, 'lr': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'iter_per_epoch': None, 'normalization': 'IN'}, 'region_fusion_start_epoch': 0, 'resume': None, 'pretrain': None, 'seed': 1024, 'ignore_label': 255, 'is_training': True, 'random_mirror': True, 'random_scale': True, 'norm_cfg': 'BN', 'activation_cfg': 'LeakyReLU', 'train_only': False, 'mode': 'random'}
[19:11:21] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x715979169f30>
[19:11:21] #############training############
[19:11:24] Epoch 1/200, Iter 1/228, Total Loss 3.175143, Loss_seg 1.681444, fusecross:0.723807, fusedice:0.957637,spec_modal_loss:1.1042993068695068, spec_logit_cls_loss:1.3832695484161377, use_modality:[0, 2, 3, 1]
[19:11:28] Epoch 1/200, Iter 16/228, Total Loss 3.191940, Loss_seg 1.656194, fusecross:0.716825, fusedice:0.939369,spec_modal_loss:1.6110789775848389, spec_logit_cls_loss:1.3746376037597656, use_modality:[1, 0, 2, 3]
[19:11:29] Epoch 1/200, Iter 17/228, Total Loss 3.195015, Loss_seg 1.659487, fusecross:0.708637, fusedice:0.950850,spec_modal_loss:1.6201411485671997, spec_logit_cls_loss:1.3735140562057495, use_modality:[3, 1, 0, 2]
[19:11:29] Epoch 1/200, Iter 18/228, Total Loss 3.178790, Loss_seg 1.679687, fusecross:0.711476, fusedice:0.968210,spec_modal_loss:1.2677488327026367, spec_logit_cls_loss:1.3723281621932983, use_modality:[0, 2, 3, 1]
[19:11:30] Epoch 1/200, Iter 19/228, Total Loss 3.236136, Loss_seg 1.697019, fusecross:0.707688, fusedice:0.989331,spec_modal_loss:1.680457592010498, spec_logit_cls_loss:1.3710715770721436, use_modality:[3, 0, 2, 1]
[19:11:30] -------- Dice_ET = 0.0060147724995199305, Dice_WT = 0.014739481022693221, Dice_TC = 0.0050377393654195595
[19:11:30] Epoch 1/200, Iter 20/228, Total Loss 3.175771, Loss_seg 1.701542, fusecross:0.708537, fusedice:0.993005,spec_modal_loss:1.0446326732635498, spec_logit_cls_loss:1.3697658777236938, use_modality:[2, 0, 1, 3]
[19:11:30] Epoch 1/200, Iter 21/228, Total Loss 3.134135, Loss_seg 1.661616, fusecross:0.706000, fusedice:0.955617,spec_modal_loss:1.0412970781326294, spec_logit_cls_loss:1.3683886528015137, use_modality:[0, 1, 3, 2]
[19:11:30] Epoch 1/200, Iter 22/228, Total Loss 3.183600, Loss_seg 1.687956, fusecross:0.708650, fusedice:0.979306,spec_modal_loss:1.286834955215454, spec_logit_cls_loss:1.3669601678848267, use_modality:[1, 3, 0, 2]
[19:11:32] Epoch 1/200, Iter 23/228, Total Loss 3.110702, Loss_seg 1.693954, fusecross:0.703577, fusedice:0.990376,spec_modal_loss:0.5128292441368103, spec_logit_cls_loss:1.3654656410217285, use_modality:[1, 2, 0, 3]
[19:11:32] Epoch 1/200, Iter 24/228, Total Loss 3.177754, Loss_seg 1.666327, fusecross:0.701557, fusedice:0.964770,spec_modal_loss:1.475155234336853, spec_logit_cls_loss:1.3639111518859863, use_modality:[2, 1, 3, 0]
[19:11:32] Epoch 1/200, Iter 25/228, Total Loss 3.079706, Loss_seg 1.614346, fusecross:0.690269, fusedice:0.924077,spec_modal_loss:1.0306130647659302, spec_logit_cls_loss:1.3622980117797852, use_modality:[1, 3, 0, 2]
[19:11:32] Epoch 1/200, Iter 26/228, Total Loss 3.156265, Loss_seg 1.658061, fusecross:0.699127, fusedice:0.958934,spec_modal_loss:1.3755576610565186, spec_logit_cls_loss:1.3606486320495605, use_modality:[0, 1, 2, 3]
[19:11:32] Epoch 1/200, Iter 27/228, Total Loss 3.213753, Loss_seg 1.675271, fusecross:0.699751, fusedice:0.975520,spec_modal_loss:1.7957637310028076, spec_logit_cls_loss:1.3589060306549072, use_modality:[1, 0, 3, 2]
[19:11:32] Epoch 1/200, Iter 28/228, Total Loss 3.177952, Loss_seg 1.662734, fusecross:0.698513, fusedice:0.964221,spec_modal_loss:1.5808695554733276, spec_logit_cls_loss:1.357130765914917, use_modality:[1, 0, 2, 3]
[19:11:33] Epoch 1/200, Iter 29/228, Total Loss 3.241809, Loss_seg 1.672250, fusecross:0.697315, fusedice:0.974935,spec_modal_loss:2.1426303386688232, spec_logit_cls_loss:1.3552956581115723, use_modality:[1, 0, 3, 2]
[19:11:33] Epoch 1/200, Iter 30/228, Total Loss 3.138176, Loss_seg 1.687777, fusecross:0.696985, fusedice:0.990791,spec_modal_loss:0.9701136350631714, spec_logit_cls_loss:1.3533885478973389, use_modality:[0, 3, 1, 2]
[19:11:33] Epoch 1/200, Iter 31/228, Total Loss 3.119771, Loss_seg 1.680712, fusecross:0.696791, fusedice:0.983921,spec_modal_loss:0.8760653734207153, spec_logit_cls_loss:1.3514518737792969, use_modality:[0, 3, 2, 1]
[19:11:33] Epoch 1/200, Iter 32/228, Total Loss 3.087669, Loss_seg 1.619197, fusecross:0.682124, fusedice:0.937073,spec_modal_loss:1.1902716159820557, spec_logit_cls_loss:1.3494453430175781, use_modality:[0, 1, 3, 2]
[19:11:34] Epoch 1/200, Iter 33/228, Total Loss 3.171716, Loss_seg 1.642621, fusecross:0.691011, fusedice:0.951610,spec_modal_loss:1.816977620124817, spec_logit_cls_loss:1.3473973274230957, use_modality:[1, 3, 0, 2]
